a	ga a_c
ai	ga ai_c
an	ga an_c
ang	ga ang_c
ao	ga ao_c
ba	b_c a_c
bai	b_c ai_c
ban	b_c an_c
bang	b_c ang_c
bao	b_c ao_c
bei	b_c ei_c
ben	b_c en_c
beng	b_c eng_c
bi	b_c i_c
bian	b_c ian_c
biao	b_c iao_c
bie	b_c ie_c
bin	b_c in_c
bing	b_c ing_c
bo	b_c o_c
bu	b_c u_c
ca	c_c a_c
cai	c_c ai_c
can	c_c an_c
cang	c_c ang_c
cao	c_c ao_c
ce	c_c e_c
cen	c_c en_c
ceng	c_c eng_c
cha	ch_c a_c
chai	ch_c ai_c
chan	ch_c an_c
chang	ch_c ang_c
chao	ch_c ao_c
che	ch_c e_c
chen	ch_c en_c
cheng	ch_c eng_c
chi	ch_c ih_c
chong	ch_c ong_c
chou	ch_c ou_c
chu	ch_c u_c
chua	ch_c ua_c
chuai	ch_c uai_c
chuan	ch_c uan_c
chuang	ch_c uang_c
chui	ch_c uei_c
chun	ch_c uen_c
chuo	ch_c uo_c
ci	c_c ii_c
cong	c_c ong_c
cou	c_c ou_c
cu	c_c u_c
cuan	c_c uan_c
cui	c_c uei_c
cun	c_c uen_c
cuo	c_c uo_c
da	d_c a_c
dai	d_c ai_c
dan	d_c an_c
dang	d_c ang_c
dao	d_c ao_c
de	d_c e_c
dei	d_c ei_c
den	d_c en_c
deng	d_c eng_c
di	d_c i_c
dia	d_c ia_c
dian	d_c ian_c
diao	d_c iao_c
die	d_c ie_c
ding	d_c ing_c
diu	d_c iou_c
dong	d_c ong_c
dou	d_c ou_c
du	d_c u_c
duan	d_c uan_c
dui	d_c uei_c
dun	d_c uen_c
duo	d_c uo_c
e	ge e_c
ei	ge ei_c
en	ge en_c
eng	ge eng_c
er	ge er_c
fa	f_c a_c
fan	f_c an_c
fang	f_c ang_c
fei	f_c ei_c
fen	f_c en_c
feng	f_c eng_c
fo	f_c o_c
fou	f_c ou_c
fu	f_c u_c
ga	g_c a_c
gai	g_c ai_c
gan	g_c an_c
gang	g_c ang_c
gao	g_c ao_c
ge	g_c e_c
gei	g_c ei_c
gen	g_c en_c
geng	g_c eng_c
gong	g_c ong_c
gou	g_c ou_c
gu	g_c u_c
gua	g_c ua_c
guai	g_c uai_c
guan	g_c uan_c
guang	g_c uang_c
gui	g_c uei_c
gun	g_c uen_c
guo	g_c uo_c
ha	h_c a_c
hai	h_c ai_c
han	h_c an_c
hang	h_c ang_c
hao	h_c ao_c
he	h_c e_c
hei	h_c ei_c
hen	h_c en_c
heng	h_c eng_c
hong	h_c ong_c
hou	h_c ou_c
hu	h_c u_c
hua	h_c ua_c
huai	h_c uai_c
huan	h_c uan_c
huang	h_c uang_c
hui	h_c uei_c
hun	h_c uen_c
huo	h_c uo_c
ji	j_c i_c
jia	j_c ia_c
jian	j_c ian_c
jiang	j_c iang_c
jiao	j_c iao_c
jie	j_c ie_c
jin	j_c in_c
jing	j_c ing_c
jiong	j_c iong_c
jiu	j_c iou_c
jv	j_c v_c
jvan	j_c van_c
jve	j_c ve_c
jvn	j_c vn_c
ka	k_c a_c
kai	k_c ai_c
kan	k_c an_c
kang	k_c ang_c
kao	k_c ao_c
ke	k_c e_c
kei	k_c ei_c
ken	k_c en_c
keng	k_c eng_c
kong	k_c ong_c
