a	ga a_c
ai	ga ai_c
an	ga an_c
ao	ga ao_c
e	ge e_c
er	ge er_c
o	go o_c
ong	go ong_c
ba	b_c a_c
bai	b_c ai_c
ban	b_c an_c
bang	b_c ang_c
bao	b_c ao_c
be	b_c e_c
bei	b_c ei_c
ben	b_c en_c
bi	b_c i_c
bia	b_c ia_c
bian	b_c ian_c
biao	b_c iao_c
bie	b_c ie_c
bin	b_c in_c
bo	b_c o_c
bong	b_c ong_c
bu	b_c u_c
ca	c_c a_c
cai	c_c ai_c
can	c_c an_c
cang	c_c ang_c
cao	c_c ao_c
ce	c_c e_c
cen	c_c en_c
ceng	c_c eng_c
ci	c_c ii_c
co	c_c o_c
cong	c_c ong_c
cou	c_c ou_c
cu	c_c u_c
cuai	c_c uai_c
cuan	c_c uan_c
cuang	c_c uang_c
cui	c_c uei_c
cun	c_c uen_c
da	d_c a_c
dai	d_c ai_c
dan	d_c an_c
dang	d_c ang_c
dao	d_c ao_c
de	d_c e_c
dei	d_c ei_c
den	d_c en_c
deng	d_c eng_c
di	d_c i_c
dian	d_c ian_c
diao	d_c iao_c
die	d_c ie_c
din	d_c in_c
ding	d_c ing_c
diu	d_c iou_c
do	d_c o_c
dong	d_c ong_c
dou	d_c ou_c
du	d_c u_c
duan	d_c uan_c
dui	d_c uei_c
dun	d_c uen_c
fa	f_c a_c
fai	f_c ai_c
fan	f_c an_c
fang	f_c ang_c
fei	f_c ei_c
fen	f_c en_c
feng	f_c eng_c
fong	f_c ong_c
fu	f_c u_c
ga	g_c a_c
gai	g_c ai_c
gan	g_c an_c
gang	g_c ang_c
gao	g_c ao_c
gua	g_c ua_c
ge	g_c e_c
gen	g_c en_c
go	g_c o_c
gon	g_c iai_c
gong	g_c ong_c
gou	g_c ou_c
gu	g_c u_c
guai	g_c uai_c
guan	g_c uan_c
guang	g_c uang_c
gui	g_c uei_c
gun	g_c uen_c
ha	h_c a_c
hai	h_c ai_c
han	h_c an_c
hang	h_c ang_c
hao	h_c ao_c
he	h_c e_c
hen	h_c en_c
ho	h_c o_c
hong	h_c ong_c
hou	h_c ou_c
hu	h_c u_c
hua	h_c ua_c
huai	h_c uai_c
huan	h_c uan_c
huang	h_c uang_c
hui	h_c uei_c
hun	h_c uen_c
huo	h_c uo_c
ji	j_c i_c
jia	j_c ia_c
jiai	j_c ia_c
jian	j_c ian_c
jiang	j_c iang_c
jiao	j_c iao_c
jie	j_c ie_c
jin	j_c in_c
jiu	j_c iou_c
ju	j_c u_c
juan	j_c van_c
jue	j_c ve_c
juo	j_c uo_c
ka	k_c a_c
kai	k_c ai_c
kan	k_c an_c
kang	k_c ang_c
kao	k_c ao_c
ke	k_c e_c
ken	k_c en_c
ko	k_c o_c
kong	k_c ong_c
kou	k_c ou_c
ku	k_c u_c
kua	k_c ua_c
kuai	k_c uai_c
kuan	k_c uan_c
kuang	k_c uang_c
kue	k_c ve_c
kui	k_c uei_c
kun	k_c uen_c
la	l_c a_c
na	n_c a_c
lai	l_c ai_c
nai	n_c ai_c
lan	l_c an_c
nan	n_c an_c
lang	l_c ang_c
nang	n_c ang_c
lao	l_c ao_c
nao	n_c ao_c
len	l_c en_c
nen	n_c en_c
li	l_c i_c
ni	n_c i_c
lian	l_c ian_c
nian	n_c ian_c
liang	l_c iang_c
