an	an_sh
au	au_sh
eh	eh_sh
iah	iah_sh
uoe	uoe_sh
en	en_sh
ia	ia_sh
ie	ie_sh
uaon	uaon_sh
ian	ian_sh
eu	eu_sh
ih	ih_sh
iau	iau_sh
in	in_sh
iu	iu_sh
oe	oe_sh
ieu	ieu_sh
oh	oh_sh
on	on_sh
ua	ua_sh
ioe	ioe_sh
ue	ue_sh
ioh	ioh_sh
ion	ion_sh
iaon	iaon_sh
iun	iun_sh
a	a_sh
uah	uah_sh
e	e_sh
aon	aon_sh
i	i_sh
uan	uan_sh
ng	ng_sh
m	m_sh
n	n_sh
iuih	iuih_sh
o	o_sh
ueh	ueh_sh
r	r_sh
u	u_sh
uen	uen_sh
y	y_sh
ah	ah_sh
han	h_sh an_sh
hau	h_sh au_sh
heh	h_sh eh_sh
hiah	h_sh iah_sh
huoe	h_sh uoe_sh
hen	h_sh en_sh
hia	h_sh ia_sh
hie	h_sh ie_sh
huaon	h_sh uaon_sh
hian	h_sh ian_sh
heu	h_sh eu_sh
hih	h_sh ih_sh
hiau	h_sh iau_sh
hin	h_sh in_sh
hiu	h_sh iu_sh
hoe	h_sh oe_sh
hieu	h_sh ieu_sh
hoh	h_sh oh_sh
hon	h_sh on_sh
hua	h_sh ua_sh
hioe	h_sh ioe_sh
hue	h_sh ue_sh
hioh	h_sh ioh_sh
hion	h_sh ion_sh
hiaon	h_sh iaon_sh
hiun	h_sh iun_sh
ha	h_sh a_sh
huah	h_sh uah_sh
he	h_sh e_sh
haon	h_sh aon_sh
hi	h_sh i_sh
huan	h_sh uan_sh
hng	h_sh ng_sh
hm	h_sh m_sh
hn	h_sh n_sh
hiuih	h_sh iuih_sh
ho	h_sh o_sh
hueh	h_sh ueh_sh
hr	h_sh r_sh
hu	h_sh u_sh
huen	h_sh uen_sh
hy	h_sh y_sh
hah	h_sh ah_sh
van	v_sh an_sh
vau	v_sh au_sh
veh	v_sh eh_sh
viah	v_sh iah_sh
vuoe	v_sh uoe_sh
ven	v_sh en_sh
via	v_sh ia_sh
vie	v_sh ie_sh
vuaon	v_sh uaon_sh
vian	v_sh ian_sh
veu	v_sh eu_sh
vih	v_sh ih_sh
viau	v_sh iau_sh
vin	v_sh in_sh
viu	v_sh iu_sh
voe	v_sh oe_sh
vieu	v_sh ieu_sh
voh	v_sh oh_sh
von	v_sh on_sh
vua	v_sh ua_sh
vioe	v_sh ioe_sh
vue	v_sh ue_sh
vioh	v_sh ioh_sh
vion	v_sh ion_sh
viaon	v_sh iaon_sh
viun	v_sh iun_sh
va	v_sh a_sh
vuah	v_sh uah_sh
ve	v_sh e_sh
vaon	v_sh aon_sh
vi	v_sh i_sh
vuan	v_sh uan_sh
vng	v_sh ng_sh
vm	v_sh m_sh
vn	v_sh n_sh
viuih	v_sh iuih_sh
vo	v_sh o_sh
vueh	v_sh ueh_sh
vr	v_sh r_sh
vu	v_sh u_sh
vuen	v_sh uen_sh
vy	v_sh y_sh
vah	v_sh ah_sh
jan	j_sh an_sh
jau	j_sh au_sh
jeh	j_sh eh_sh
jiah	j_sh iah_sh
juoe	j_sh uoe_sh
jen	j_sh en_sh
jia	j_sh ia_sh
jie	j_sh ie_sh
juaon	j_sh uaon_sh
jian	j_sh ian_sh
jeu	j_sh eu_sh
jih	j_sh ih_sh
jiau	j_sh iau_sh
jin	j_sh in_sh
jiu	j_sh iu_sh
joe	j_sh oe_sh
jieu	j_sh ieu_sh
joh	j_sh oh_sh
jon	j_sh on_sh
jua	j_sh ua_sh
jioe	j_sh ioe_sh
jue	j_sh ue_sh
jioh	j_sh ioh_sh
jion	j_sh ion_sh
jiaon	j_sh iaon_sh
jiun	j_sh iun_sh
ja	j_sh a_sh
juah	j_sh uah_sh
je	j_sh e_sh
jaon	j_sh aon_sh
ji	j_sh i_sh
juan	j_sh uan_sh
jng	j_sh ng_sh
jm	j_sh m_sh
jn	j_sh n_sh
jiuih	j_sh iuih_sh
jo	j_sh o_sh
jueh	j_sh ueh_sh
jr	j_sh r_sh
ju	j_sh u_sh
juen	j_sh uen_sh
jy	j_sh y_sh
jah	j_sh ah_sh
khan	kh_sh an_sh
khau	kh_sh au_sh
kheh	kh_sh eh_sh
khiah	kh_sh iah_sh
khuoe	kh_sh uoe_sh
khen	kh_sh en_sh
khia	kh_sh ia_sh
khie	kh_sh ie_sh
khuaon	kh_sh uaon_sh
khian	kh_sh ian_sh
kheu	kh_sh eu_sh
khih	kh_sh ih_sh
khiau	kh_sh iau_sh
khin	kh_sh in_sh
khiu	kh_sh iu_sh
khoe	kh_sh oe_sh
khieu	kh_sh ieu_sh
khoh	kh_sh oh_sh
khon	kh_sh on_sh
khua	kh_sh ua_sh
khioe	kh_sh ioe_sh
khue	kh_sh ue_sh
khioh	kh_sh ioh_sh
khion	kh_sh ion_sh
khiaon	kh_sh iaon_sh
khiun	kh_sh iun_sh
kha	kh_sh a_sh
khuah	kh_sh uah_sh
khe	kh_sh e_sh
khaon	kh_sh aon_sh
khi	kh_sh i_sh
khuan	kh_sh uan_sh
khng	kh_sh ng_sh
khm	kh_sh m_sh
